City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,saint-georges,12.0564,-61.7485,26.82,78,75,4.63,GD,1680403574
243,yar-sale,66.8333,70.8333,0.75,98,100,8.67,RU,1680403286
244,bardiyah,31.7561,25.0865,17.08,39,24,6.19,LY,1680403575
245,pickerington,39.8842,-82.7535,4.79,77,100,9.77,US,1680403047
246,nhulunbuy,-12.2333,136.7667,32.34,51,36,4.63,AU,1680403576
247,sukumo,32.9333,132.7333,19.66,49,100,3.73,JP,1680403453
248,lerwick,60.1545,-1.1494,5.0,79,6,5.34,GB,1680403577
249,giaveno,45.047,7.3492,8.81,52,88,3.38,IT,1680403577
250,waverly,42.7392,-84.6208,1.19,78,75,3.09,US,1680403471
251,price,39.5994,-110.8107,9.51,36,0,3.6,US,1680403578
252,porto walter,-8.2686,-72.7439,22.2,100,100,0.28,BR,1680403578
253,belyy yar,53.6039,91.3903,-9.06,62,0,0.0,RU,1680403579
254,laguna,38.421,-121.4238,17.08,89,44,3.32,US,1680403579
255,mayo,38.8876,-76.5119,12.23,54,40,14.92,US,1680403579
256,northam,51.0333,-4.2167,7.56,90,14,3.88,GB,1680403580
257,alta floresta,-9.8756,-56.0861,21.26,99,99,0.38,BR,1680403580
258,palmas,-10.2128,-48.3603,24.93,94,20,0.51,BR,1680403482
259,belaya gora,68.5333,146.4167,-18.51,76,17,2.0,RU,1680403327
260,bereda,43.2686,-7.5406,3.1,70,88,1.99,ES,1680403581
261,kysyl-syr,63.8986,122.7617,-11.08,83,86,5.63,RU,1680403581
262,hurghada,27.2574,33.8129,16.02,31,0,5.14,EG,1680403582
263,tagusao,9.1924,117.8141,29.0,68,95,2.84,PH,1680403582
264,salalah,17.0151,54.0924,28.05,83,75,3.6,OM,1680403304
265,asyut,27.181,31.1837,14.1,41,0,3.03,EG,1680403431
266,qeshm,26.9581,56.2719,22.93,65,2,11.34,IR,1680403583
267,muros,42.7762,-9.0603,6.49,92,21,3.55,ES,1680403584
268,villazon,-22.0866,-65.5942,12.09,60,64,2.66,BO,1680403488
269,chapais,49.7834,-74.8492,-11.12,87,100,6.86,CA,1680403584
270,tawang,27.5833,91.8667,5.5,90,99,2.42,IN,1680403585
271,leshukonskoye,64.8989,45.7622,-14.13,99,96,1.36,RU,1680403585
272,birao,10.2849,22.7882,20.54,16,41,2.79,CF,1680403585
273,rawson,-43.3002,-65.1023,18.16,29,0,5.14,AR,1680403586
274,kralendijk,12.15,-68.2667,25.99,78,75,7.2,BQ,1680403586
275,severo-kurilsk,50.6789,156.125,0.06,86,81,7.32,RU,1680403586
276,jacareacanga,-6.2222,-57.7528,22.71,98,100,1.06,BR,1680403419
277,fuerte,17.5381,120.3644,30.06,91,6,3.31,PH,1680403587
278,manta,-0.95,-80.7333,25.88,83,20,0.51,EC,1680403489
279,amberley,39.2048,-84.428,5.17,80,100,6.69,US,1680403588
280,pitimbu,-7.4706,-34.8086,25.33,79,97,3.02,BR,1680403588
281,saldanha,-33.0117,17.9442,15.03,91,0,3.26,ZA,1680403588
282,lima,-12.0432,-77.0282,25.5,79,20,5.14,PE,1680403180
283,nanortalik,60.1432,-45.2371,-4.59,82,86,2.94,GL,1680403589
284,talnakh,69.4865,88.3972,-4.33,95,100,7.34,RU,1680403590
285,kaihua,23.3687,104.28,24.81,40,5,6.4,CN,1680403590
286,nouadhibou,20.931,-17.0347,22.99,56,0,8.23,MR,1680403590
287,mikhaylovka,50.06,43.2379,4.83,75,82,2.41,RU,1680403591
288,waingapu,-9.6567,120.2641,28.47,74,100,2.03,ID,1680403591
289,margate,51.3813,1.3862,7.17,88,100,4.92,GB,1680403535
290,havre-saint-pierre,50.2334,-63.5986,-0.8,93,100,7.72,CA,1680403592
291,chippewa falls,44.9369,-91.3929,-0.9,76,0,2.06,US,1680403502
292,mwanza,-2.5167,32.9,18.2,85,69,0.89,TZ,1680403592
293,clyde river,70.4692,-68.5914,-26.87,76,0,5.66,CA,1680403593
294,san ramon,37.7799,-121.978,13.12,76,0,5.66,US,1680403593
295,kasama,-10.2129,31.1808,14.06,98,100,1.14,ZM,1680403594
296,bangor,54.6534,-5.669,7.83,83,100,0.45,GB,1680403441
297,port hedland,-20.3167,118.5667,34.03,46,75,3.6,AU,1680403594
298,baruun-urt,46.6806,113.2792,-3.86,89,100,8.06,MN,1680403595
299,lockhart,28.6194,-81.4426,25.08,79,43,2.24,US,1680403595
300,tyumentsevo,53.3224,81.498,-7.13,71,52,3.14,RU,1680403596
301,isangel,-19.55,169.2667,29.85,65,4,0.71,VU,1680403596
302,batagay-alyta,67.8006,130.4114,-17.31,74,100,2.57,RU,1680403596
303,lumsden,50.6501,-104.8678,-0.47,97,44,2.51,CA,1680403518
304,ponta delgada,37.7333,-25.6667,17.4,100,75,5.14,PT,1680403597
305,grande prairie,55.1667,-118.8027,3.1,52,40,4.12,CA,1680403320
306,milkovo,54.7167,158.6167,4.67,62,2,0.41,RU,1680403534
307,walvis bay,-22.9575,14.5053,15.02,90,4,0.46,NA,1680403597
308,sambava,-14.2667,50.1667,23.78,91,81,2.66,MG,1680403598
309,bereznik,62.8551,42.7072,-3.38,97,100,1.11,RU,1680403598
310,college,64.8569,-147.8028,-1.34,50,75,4.12,US,1680403598
311,port augusta,-32.5,137.7667,22.26,23,0,1.37,AU,1680403599
312,nuuk,64.1835,-51.7216,-3.66,68,40,5.66,GL,1680403599
313,konstantinovo,54.6628,29.2699,3.31,99,100,3.31,BY,1680403599
314,arcachon,44.5875,-1.0519,11.03,87,75,4.12,FR,1680403599
315,zhigansk,66.7697,123.3711,-15.11,94,100,9.51,RU,1680403600
316,shimoda,34.6667,138.95,16.2,69,100,9.01,JP,1680403600
317,lebu,-37.6167,-73.65,13.45,93,94,4.55,CL,1680403600
318,anadyr,64.75,177.4833,-13.72,78,3,11.0,RU,1680403600
319,den helder,52.9599,4.7593,4.99,83,75,11.32,NL,1680403601
320,port moresby,-9.4431,147.1797,30.68,58,40,4.12,PG,1680403327
321,codrington,-38.2667,141.9667,16.07,56,67,4.12,AU,1680403509
322,jiazi,22.8779,116.067,22.99,76,81,5.54,CN,1680403601
323,glyadyanskoye,54.9075,65.0883,0.56,61,26,4.36,RU,1680403602
324,biltine,14.5333,20.9167,24.2,9,92,7.18,TD,1680403602
325,victoria,22.2855,114.1577,24.03,91,100,0.89,HK,1680403483
326,sabzevar,36.2126,57.6819,7.71,62,0,0.58,IR,1680403602
327,adrar,20.5022,-10.0711,22.74,8,0,4.46,MR,1680403603
328,provideniya,64.3833,-173.3,-7.87,86,78,3.06,RU,1680403603
329,ketchikan,55.3422,-131.6461,5.99,65,40,0.0,US,1680403603
330,hukuntsi,-24.0,21.75,20.74,55,6,2.99,BW,1680403603
